ID,type_of_food,name_of_food,how_to_prepare,main_ingredients,taste,outstanding_fragrance,current_price,number_of_people_eating
1,MÓN KHAI VỊ,Bánh xèo,"Đổ bột gạo pha nước cốt dừa, chiên vàng giòn cùng topping","Bột gạo, tôm, thịt ba chỉ, giá đỗ,...",Đồ béo,"Thơm và béo của nước cốt dừa hoà quyện cùng topping (tôm, thịt,..)","145,000",2-3 người
2,MÓN KHAI VỊ,Bánh khọt nước dừa,"Đổ bột gạo pha nước cốt dừa vào khuôn nhỏ, chiên giòn cùng topping","Bột  gạo, nước cốt dừa, tôm",Đồ béo,"Thơm và béo của nước cốt dừa hoà quyện cùng topping (tôm, thịt,..)","145,000",2-3 người
3,MÓN KHAI VỊ,Hến xúc bánh đa,"Hến xào hành, rau răm, ăn kèm bánh đa","Hến, rau răm, bánh đa","Đồ mặn, cay","Vị ngọt béo tự nhiên của hến, cay nhẹ của ớt và rau răm, tiêu","155,000",1-2 người
4,MÓN KHAI VỊ,Mực chiên giòn,"Mực tẩm bột chiên xù, chiên vàng","Mực, bột chiên",Đồ béo,"Mực tươi, béo của bột chiên giòn","175,000",2-3 người
5,MÓN KHAI VỊ,Cơm cháy mỡ hành chà bông,"Cơm cháy chiên giòn, rưới mỡ hành, rắc chà bông","Gạo, chà bông, hành lá",Đồ mặn,"Thơm mỡ hành, chà bông","150,000",2-3 người
6,MÓN KHAI VỊ,Sụn gà rang muối,"Sụn gà chiên giòn, rang với muối Hong Kong","Sụn gà, bột muối rang","Đồ mặn, béo nhẹ",Thơm mùi muối rang,"155,000",1-2 người
7,MÓN KHAI VỊ,Chả mực Hạ Long,"Mực giã tay, chiên vàng","Mực, gia vị",Đồ mặn,Mực tươi,"155,000",2-3 người
8,MÓN KHAI VỊ,Ốc bươu nhồi thịt,"Ốc bươu nhồi thịt băm, hấp sả","Ốc bươu, thịt băm, sả",Đồ mặn,"Ốc tươi, thơm sả, tiêu","165,000",2-3 người
9,MÓN KHAI VỊ,Sụn gà chiên nước mắm,"Sụn gà chiên giòn, sốt nước mắm tỏi ớt","Sụn gà, nước mắm",Đồ mặn,Thơm nước mắm tỏi ớt,"155,000",2-3 người
10,MÓN KHAI VỊ,Tôm bọc cốm xanh,"Tôm quết bột, bọc cốm xanh, chiên giòn","Tôm tươi, cốm xanh",Đồ béo,"Tôm tươi, cốm chiên thơm","165,000",2-3 người
11,MÓN KHAI VỊ,Chả giò hải sản,"Hải sản băm cuốn bánh tráng, chiên vàng","Hải sản băm, bánh tráng",Đồ béo,Hải sản tươi,"165,000",2-3 người
12,MÓN KHAI VỊ,Cơm cháy chảo kho quẹt,"Cơm chiên phồng, Cơm trắng chiên phồng, ăn kèm kho quẹt tôm khô","Cơm, Cơm trắng, tôm khô, thịt ba chỉ, chà bông",Đồ mặn,"Kho quẹt, mỡ hành","155,000",2-3 người
